construction,sentence,nonse_verb
ditransitive,She watched her the counterpart.,watched
ditransitive,She dropped her the mall.,dropped
ditransitive,He read him the regulation.,read
ditransitive,She narrowed her the monitoring.,narrowed
ditransitive,He resulted him the assembly.,resulted
ditransitive,He moved him the engineering.,moved
ditransitive,He demanded him the treatment.,demanded
ditransitive,He continued her the address.,continued
ditransitive,She lived him the claim.,lived
ditransitive,He halted him the notebook.,halted
ditransitive,He lost him the flagship.,lost
ditransitive,She acted him the package.,acted
ditransitive,She taught her the deposit.,taught
ditransitive,He sought her the gift.,sought
ditransitive,He named him the outcome.,named
ditransitive,She adopted him the source.,adopted
ditransitive,She surprised him the adult.,surprised
ditransitive,She suggested him the tourism.,suggested
ditransitive,She signed her the examination.,signed
ditransitive,She shut her the entertainment.,shut
ditransitive,He joined him the quality.,joined
ditransitive,She emerged him the structure.,emerged
ditransitive,He allowed him the finance.,allowed
ditransitive,She represented him the managing.,represented
ditransitive,He cut him the look.,cut
ditransitive,She surprised him the deposit.,surprised
ditransitive,She recovered her the operation.,recovered
ditransitive,She fled him the vehicle.,fled
ditransitive,He described her the conservation.,described
ditransitive,He backed her the air.,backed
ditransitive,He visited her the control.,visited
ditransitive,He shot him the cement.,shot
ditransitive,He urged her the businessman.,urged
ditransitive,He totaled him the dignity.,totaled
ditransitive,He climbed him the statement.,climbed
ditransitive,He requested her the planet.,requested
ditransitive,She made him the housing.,made
ditransitive,She allowed her the merchandise.,allowed
ditransitive,She rejected her the facility.,rejected
ditransitive,He climbed him the application.,climbed
ditransitive,He shook him the dictator.,shook
ditransitive,He followed him the collection.,followed
ditransitive,He attributed him the brand.,attributed
ditransitive,She backed her the colon.,backed
ditransitive,She entered him the psyllium.,entered
ditransitive,She interviewed him the department.,interviewed
ditransitive,He drew him the incident.,drew
ditransitive,She named her the culture.,named
ditransitive,She knocked her the journalist.,knocked
ditransitive,She changed him the west.,changed
ditransitive,He released him the homelessness.,released
ditransitive,She sued him the deduction.,sued
ditransitive,He added him the turf.,added
ditransitive,He moved her the reconciliation.,moved
ditransitive,She shouted him the operator.,shouted
ditransitive,She went him the hell.,went
ditransitive,He finished her the balloon.,finished
ditransitive,He presented him the midnight.,presented
ditransitive,She called her the bread.,called
ditransitive,She ended him the tension.,ended
ditransitive,He wrote her the ad.,wrote
ditransitive,He withdrew him the conglomerate.,withdrew
ditransitive,She resumed her the welfare.,resumed
ditransitive,He participated him the alcohol.,participated
ditransitive,She grew her the controversy.,grew
ditransitive,She handled her the pride.,handled
ditransitive,He spoke her the milk.,spoke
ditransitive,He referred him the tonight.,referred
ditransitive,She refused her the exemption.,refused
ditransitive,She jumped her the demonstration.,jumped
ditransitive,He bought him the boat.,bought
ditransitive,He watched him the hair.,watched
ditransitive,She slowed her the quality.,slowed
ditransitive,He violated him the settlement.,violated
ditransitive,He issued her the contribution.,issued
ditransitive,He rallied her the provider.,rallied
ditransitive,She estimated her the smoking.,estimated
ditransitive,He talked him the danger.,talked
ditransitive,He disclosed her the fact.,disclosed
ditransitive,He acknowledged him the length.,acknowledged
ditransitive,She earned her the rhetoric.,earned
ditransitive,She jumped him the refinery.,jumped
ditransitive,She completed her the seller.,completed
ditransitive,She suspended her the world.,suspended
ditransitive,He helped her the punishment.,helped
ditransitive,He had him the gift.,had
ditransitive,He introduced him the massage.,introduced
ditransitive,She bought her the shift.,bought
ditransitive,He added him the assassination.,added
ditransitive,She struck him the forecast.,struck
ditransitive,She soared him the magnitude.,soared
ditransitive,She reached her the disappointment.,reached
ditransitive,She died her the separation.,died
ditransitive,She founded him the vaccine.,founded
ditransitive,She alleged her the wood.,alleged
ditransitive,She speculated her the desktop.,speculated
ditransitive,She gained her the wake.,gained
ditransitive,She forced her the steelmaker.,forced
ditransitive,He joined her the sponsor.,joined
ditransitive,She resumed her the everything.,resumed
ditransitive,He finished her the anything.,finished
ditransitive,She was him the leather.,was
ditransitive,He focused her the hold.,focused
ditransitive,He put her the computer.,put
ditransitive,He failed him the environment.,failed
ditransitive,She planned him the counseling.,planned
ditransitive,He advanced her the pretax.,advanced
ditransitive,She reflected him the creativity.,reflected
ditransitive,She sought him the loss.,sought
ditransitive,She speculated him the sentiment.,speculated
ditransitive,He benefited her the purchasing.,benefited
ditransitive,She confirmed her the blame.,confirmed
ditransitive,She operated her the objective.,operated
ditransitive,He sank her the parking.,sank
ditransitive,He denied her the train.,denied
ditransitive,He feared her the controversy.,feared
ditransitive,She went him the forecasting.,went
ditransitive,She followed her the innovation.,followed
ditransitive,She suggested him the basketball.,suggested
ditransitive,He caused him the package.,caused
ditransitive,She emphasized her the authority.,emphasized
ditransitive,She retired him the gas.,retired
ditransitive,She remained her the piece.,remained
ditransitive,She chose her the literature.,chose
ditransitive,She speculated him the commercial.,speculated
ditransitive,He complained her the point.,complained
ditransitive,She replaced him the repeal.,replaced
ditransitive,She indicated her the life.,indicated
ditransitive,He abandoned her the convention.,abandoned
ditransitive,She imposed her the agency.,imposed
ditransitive,He defended him the regulation.,defended
ditransitive,She gained him the sum.,gained
ditransitive,She used her the someone.,used
ditransitive,She resulted him the painting.,resulted
ditransitive,She showed her the goal.,showed
ditransitive,She authorized him the yield.,authorized
ditransitive,He turned him the achievement.,turned
ditransitive,She stayed him the equipment.,stayed
ditransitive,He ran her the billionaire.,ran
ditransitive,She suspended him the unemployment.,suspended
ditransitive,He played her the hold.,played
ditransitive,He called her the official.,called
ditransitive,He conceded her the listing.,conceded
ditransitive,She ended him the charity.,ended
ditransitive,She warned him the columnist.,warned
ditransitive,She invested her the article.,invested
ditransitive,He indicated him the indicator.,indicated
ditransitive,He emerged him the epicenter.,emerged
ditransitive,He disclosed him the softness.,disclosed
ditransitive,She arranged him the supervisor.,arranged
ditransitive,He figured him the lawsuit.,figured
ditransitive,She slowed him the senator.,slowed
ditransitive,He demanded him the freedom.,demanded
ditransitive,She finished her the step.,finished
ditransitive,She confirmed her the page.,confirmed
ditransitive,She benefited her the acquisition.,benefited
ditransitive,She reflected her the headline.,reflected
ditransitive,She ended her the duty.,ended
ditransitive,He shouted him the gridlock.,shouted
ditransitive,He started him the embryo.,started
ditransitive,She plunged her the decision.,plunged
ditransitive,She vowed her the employer.,vowed
ditransitive,She retained him the disclosure.,retained
ditransitive,He involved him the student.,involved
ditransitive,He provided her the yen.,provided
ditransitive,She spoke her the tree.,spoke
ditransitive,He skidded her the pipeline.,skidded
ditransitive,He cleared her the breach.,cleared
ditransitive,She added him the college.,added
ditransitive,He totaled him the money.,totaled
ditransitive,She explained him the estate.,explained
ditransitive,She thought her the pickup.,thought
ditransitive,He shook her the bureau.,shook
ditransitive,She withdrew him the highway.,withdrew
ditransitive,He staged her the host.,staged
ditransitive,She refused her the leg.,refused
ditransitive,He ended him the league.,ended
ditransitive,He negotiated him the swap.,negotiated
ditransitive,She focused him the neck.,focused
ditransitive,He hoped her the basketball.,hoped
ditransitive,He triggered him the down.,triggered
ditransitive,She owned her the vacation.,owned
ditransitive,He sold her the discount.,sold
ditransitive,She averaged him the mill.,averaged
ditransitive,She jumped him the space.,jumped
ditransitive,She reacted him the ownership.,reacted
ditransitive,He heard him the founder.,heard
ditransitive,He went him the worm.,went
ditransitive,He shut her the satisfaction.,shut
ditransitive,She contributed her the hearing.,contributed
ditransitive,He fell her the up.,fell
ditransitive,She heard her the terrorism.,heard
ditransitive,He managed him the consumption.,managed
ditransitive,She affected him the milk.,affected
ditransitive,She sought him the supermarket.,sought
ditransitive,She moved him the contrast.,moved
ditransitive,He lacked her the principle.,lacked
ditransitive,She stressed him the placement.,stressed
ditransitive,She ruled him the board.,ruled
ditransitive,He slowed her the collateral.,slowed
ditransitive,He speculated him the television.,speculated
ditransitive,He signed her the blow.,signed
ditransitive,She referred her the subsidiary.,referred
ditransitive,She wrote him the inflation.,wrote
ditransitive,She suspended her the retailer.,suspended
ditransitive,She said her the affair.,said
ditransitive,She participated her the party.,participated
ditransitive,He exploded him the complaint.,exploded
ditransitive,He authorized him the steam.,authorized
ditransitive,He demanded him the one.,demanded
ditransitive,She started her the health.,started
ditransitive,She stopped her the balloon.,stopped
ditransitive,She stemmed him the overhaul.,stemmed
ditransitive,He moved him the extent.,moved
ditransitive,She outnumbered her the crunch.,outnumbered
ditransitive,She caught her the disposal.,caught
ditransitive,She generated him the nose.,generated
ditransitive,She triggered her the strain.,triggered
ditransitive,She switched her the duck.,switched
ditransitive,She purchased him the disposal.,purchased
ditransitive,She complained her the leverage.,complained
ditransitive,She meant him the fan.,meant
ditransitive,She looked him the chemical.,looked
ditransitive,He abandoned her the committee.,abandoned
ditransitive,She referred him the use.,referred
ditransitive,He became her the intervention.,became
ditransitive,He remained him the fight.,remained
ditransitive,He expressed her the buying.,expressed
ditransitive,He began him the suburb.,began
ditransitive,She appeared her the production.,appeared
ditransitive,He issued him the basis.,issued
ditransitive,She provided her the decline.,provided
ditransitive,He stayed her the student.,stayed
ditransitive,She lowered her the minimum.,lowered
ditransitive,She earned him the minimum.,earned
ditransitive,She contended her the copy.,contended
ditransitive,He estimated her the skin.,estimated
ditransitive,She changed her the average.,changed
ditransitive,He sold her the volume.,sold
ditransitive,She looked her the husband.,looked
ditransitive,He remained him the expertise.,remained
ditransitive,He vowed her the favor.,vowed
ditransitive,He stemmed him the formula.,stemmed
ditransitive,She negotiated her the exhibition.,negotiated
ditransitive,He offered her the movie.,offered
ditransitive,He built him the title.,built
ditransitive,She feared her the assassination.,feared
ditransitive,He entered her the guide.,entered
ditransitive,She reached her the incest.,reached
ditransitive,She dominated him the meantime.,dominated
ditransitive,She predicted her the release.,predicted
ditransitive,He announced her the debate.,announced
ditransitive,He asserted him the emergency.,asserted
ditransitive,He purchased him the following.,purchased
ditransitive,She declined her the solution.,declined
ditransitive,He recorded him the sport.,recorded
ditransitive,He accused her the core.,accused
ditransitive,She described him the husband.,described
ditransitive,He hoped her the gun.,hoped
ditransitive,He prompted him the day.,prompted
ditransitive,He acted her the repurchase.,acted
ditransitive,He stood her the scientist.,stood
ditransitive,He recommended him the appearance.,recommended
ditransitive,He recorded him the taxation.,recorded
ditransitive,He thought her the summer.,thought
ditransitive,She found her the platform.,found
ditransitive,He joined her the grain.,joined
ditransitive,He appeared her the merit.,appeared
ditransitive,He plummeted her the adoption.,plummeted
ditransitive,She produced him the handling.,produced
ditransitive,She knew her the wisdom.,knew
ditransitive,She occurred her the beef.,occurred
ditransitive,He launched her the blame.,launched
ditransitive,She acted her the basketball.,acted
ditransitive,She worked him the index.,worked
ditransitive,He acted her the death.,acted
ditransitive,He managed her the objective.,managed
ditransitive,She suspended her the brother.,suspended
ditransitive,She admitted her the manager.,admitted
ditransitive,He found him the forest.,found
ditransitive,She flew her the iron.,flew
ditransitive,She achieved him the everybody.,achieved
ditransitive,He prompted him the panic.,prompted
ditransitive,He switched her the player.,switched
ditransitive,She issued him the year.,issued
ditransitive,She suspended him the asbestos.,suspended
ditransitive,She killed him the check.,killed
ditransitive,He operated him the movement.,operated
ditransitive,He kept him the welfare.,kept
ditransitive,She pulled him the no..,pulled
ditransitive,She lived him the debacle.,lived
ditransitive,She did her the reputation.,did
ditransitive,He watched her the retreat.,watched
ditransitive,He took him the post.,took
ditransitive,He reacted her the travel.,reacted
ditransitive,He retained her the default.,retained
ditransitive,He slowed him the cast.,slowed
ditransitive,She made him the section.,made
ditransitive,She edged her the associate.,edged
ditransitive,She tried her the launch.,tried
ditransitive,She continued her the core.,continued
ditransitive,She closed her the authority.,closed
ditransitive,She hoped him the land.,hoped
ditransitive,She developed him the track.,developed
ditransitive,She waited him the pay.,waited
ditransitive,She pulled her the explosion.,pulled
ditransitive,He improved her the fate.,improved
ditransitive,She tried her the river.,tried
ditransitive,She drew him the reorganization.,drew
ditransitive,He disclosed her the psychology.,disclosed
ditransitive,He switched him the establishment.,switched
ditransitive,He introduced her the linage.,introduced
ditransitive,She represented him the textile.,represented
ditransitive,She pleaded her the consulting.,pleaded
ditransitive,He won her the marketer.,won
ditransitive,She created her the situation.,created
ditransitive,She played him the reorganization.,played
ditransitive,He worked her the plea.,worked
ditransitive,He conceded him the forfeiture.,conceded
ditransitive,He narrowed him the strain.,narrowed
ditransitive,She cleared him the junk.,cleared
ditransitive,He expected him the motion.,expected
ditransitive,He involved her the company.,involved
ditransitive,She did her the video.,did
ditransitive,He complained him the touch.,complained
ditransitive,He led her the shipyard.,led
ditransitive,He contended her the juice.,contended
ditransitive,She reported her the bottle.,reported
ditransitive,He rebounded her the repeal.,rebounded
ditransitive,He told him the deposit.,told
ditransitive,She raised her the father.,raised
ditransitive,She added her the singer.,added
ditransitive,She supported her the 13th.,supported
ditransitive,She acknowledged her the retail.,acknowledged
ditransitive,She carried him the rout.,carried
ditransitive,He hit him the handful.,hit
ditransitive,He found her the royalty.,found
ditransitive,He totaled him the bear.,totaled
ditransitive,He threatened her the terminal.,threatened
ditransitive,He imposed her the portion.,imposed
ditransitive,She extended her the investing.,extended
ditransitive,She expected him the merger.,expected
ditransitive,She sustained him the horse.,sustained
ditransitive,He fell him the excess.,fell
ditransitive,She knew him the security.,knew
ditransitive,He joined him the terrorism.,joined
ditransitive,She narrowed her the ride.,narrowed
ditransitive,She confirmed her the architect.,confirmed
ditransitive,She upheld her the veteran.,upheld
ditransitive,She retired her the disclosure.,retired
ditransitive,She halted him the hunting.,halted
ditransitive,He played her the rice.,played
ditransitive,He turned him the attendance.,turned
ditransitive,He thought him the term.,thought
ditransitive,He proved him the bidding.,proved
ditransitive,She lacked him the sea.,lacked
ditransitive,He accused her the leadership.,accused
ditransitive,She violated her the hotel.,violated
ditransitive,She observed him the pain.,observed
ditransitive,He fell him the candy.,fell
ditransitive,She amounted her the symbol.,amounted
ditransitive,She played him the heat.,played
ditransitive,She gave her the look.,gave
ditransitive,She reduced her the race.,reduced
ditransitive,She happened him the care.,happened
ditransitive,He visited him the cooperation.,visited
ditransitive,He required her the discovery.,required
ditransitive,She described her the wife.,described
ditransitive,She warned him the associate.,warned
ditransitive,She achieved him the rental.,achieved
ditransitive,She needed him the profit.,needed
ditransitive,She presented him the manufacturing.,presented
ditransitive,He averaged her the globe.,averaged
ditransitive,He fought him the drop.,fought
ditransitive,He plunged her the rate.,plunged
ditransitive,She was him the turnaround.,was
ditransitive,He soared him the discounting.,soared
ditransitive,She threw him the reversal.,threw
ditransitive,She rolled him the proof.,rolled
ditransitive,He lived her the pipeline.,lived
ditransitive,She sued him the inch.,sued
ditransitive,He rose her the count.,rose
ditransitive,He hit him the head.,hit
ditransitive,He expected her the association.,expected
ditransitive,He paid her the hunting.,paid
ditransitive,She helped her the tool.,helped
ditransitive,He discovered her the right.,discovered
ditransitive,She created her the principal.,created
ditransitive,She spoke him the name.,spoke
ditransitive,She got him the golf.,got
ditransitive,She registered her the corruption.,registered
ditransitive,He warned him the import.,warned
ditransitive,He added her the skepticism.,added
ditransitive,He observed her the borough.,observed
ditransitive,She knocked her the beauty.,knocked
ditransitive,She rejected him the studio.,rejected
ditransitive,He killed her the shah.,killed
ditransitive,He demanded her the sell.,demanded
ditransitive,She wanted her the motion.,wanted
ditransitive,He ended her the shot.,ended
ditransitive,She widened her the net.,widened
ditransitive,He created him the money.,created
ditransitive,He passed him the help.,passed
ditransitive,She changed her the popularity.,changed
ditransitive,She looked him the midst.,looked
ditransitive,He occurred her the strategy.,occurred
ditransitive,She adopted her the microprocessor.,adopted
ditransitive,He accused him the middle.,accused
ditransitive,She slowed her the roll.,slowed
ditransitive,He forced her the a.,forced
ditransitive,She pushed him the complaint.,pushed
ditransitive,He predicted him the operation.,predicted
ditransitive,He ruled her the budget.,ruled
ditransitive,He drew him the fuel.,drew
ditransitive,He returned him the assembly.,returned
ditransitive,He shut him the flow.,shut
ditransitive,She referred him the code.,referred
ditransitive,He topped her the guide.,topped
ditransitive,She claimed him the brain.,claimed
ditransitive,He slipped him the flag.,slipped
ditransitive,She thought him the pack.,thought
ditransitive,He retired her the cotton.,retired
ditransitive,He rebounded her the army.,rebounded
ditransitive,She followed him the fever.,followed
ditransitive,She wrote her the chicken.,wrote
ditransitive,She defended her the trade.,defended
ditransitive,He widened her the will.,widened
ditransitive,He climbed her the split.,climbed
ditransitive,He produced her the instrument.,produced
ditransitive,He reached her the consumption.,reached
ditransitive,She left him the tumor.,left
ditransitive,She insisted her the mill.,insisted
ditransitive,She ran her the boiler.,ran
ditransitive,She dumped him the metal.,dumped
ditransitive,She caught her the notification.,caught
ditransitive,He applied him the panel.,applied
ditransitive,He testified him the experiment.,testified
ditransitive,She dominated her the reserve.,dominated
ditransitive,He slipped him the shopping.,slipped
ditransitive,She headed him the consolidation.,headed
ditransitive,She required him the radiation.,required
ditransitive,He demanded him the community.,demanded
ditransitive,He ran her the well.,ran
ditransitive,He arrived him the court.,arrived
ditransitive,He drove her the jewelry.,drove
ditransitive,He referred him the catastrophe.,referred
ditransitive,She met him the process.,met
ditransitive,She estimated her the enterprise.,estimated
ditransitive,She purchased him the pride.,purchased
ditransitive,He broke him the place.,broke
ditransitive,She plunged her the sale.,plunged
ditransitive,She thought her the film.,thought
ditransitive,She included him the forest.,included
ditransitive,She argued her the warehouse.,argued
ditransitive,He reached her the decrease.,reached
ditransitive,He fought him the remainder.,fought
ditransitive,She owned him the generation.,owned
ditransitive,She slid him the redemption.,slid
ditransitive,She cost him the momentum.,cost
ditransitive,She bid him the petroleum.,bid
ditransitive,He approved her the worker.,approved
ditransitive,He had her the bailout.,had
ditransitive,She carried him the scope.,carried
ditransitive,He played him the placement.,played
ditransitive,She retained her the bed.,retained
ditransitive,He indicated him the search.,indicated
ditransitive,She heard her the argument.,heard
ditransitive,She expanded her the reliance.,expanded
ditransitive,She said her the room.,said
ditransitive,She scrambled him the return.,scrambled
ditransitive,She left him the discount.,left
ditransitive,He described him the flexibility.,described
ditransitive,He pushed her the travel.,pushed
ditransitive,He reduced him the issuance.,reduced
ditransitive,She added him the bike.,added
ditransitive,She claimed him the respect.,claimed
ditransitive,He experienced her the retailer.,experienced
ditransitive,She cost him the butter.,cost
ditransitive,He began her the maximum.,began
ditransitive,She involved him the task.,involved
ditransitive,He rejected her the corner.,rejected
ditransitive,She issued her the issue.,issued
ditransitive,He realized him the person.,realized
ditransitive,She tumbled him the accounting.,tumbled
ditransitive,He lost her the league.,lost
ditransitive,He jumped her the circuit.,jumped
ditransitive,He adopted her the ski.,adopted
ditransitive,She carried him the nation.,carried
ditransitive,He stopped her the jet.,stopped
ditransitive,She slipped him the study.,slipped
ditransitive,He obtained him the achievement.,obtained
ditransitive,She bought him the comedy.,bought
ditransitive,He expanded her the complaint.,expanded
ditransitive,He decided him the person.,decided
ditransitive,He ranged him the heart.,ranged
ditransitive,He generated her the pachinko.,generated
ditransitive,She consented him the executive.,consented
ditransitive,He believed him the gap.,believed
ditransitive,She signaled her the merchant.,signaled
ditransitive,She failed her the mountain.,failed
ditransitive,She turned him the abortion.,turned
ditransitive,She promised him the greenhouse.,promised
ditransitive,He reported him the s&l.,reported
ditransitive,He appeared him the blow.,appeared
ditransitive,She described her the copy.,described
ditransitive,He hoped him the p53.,hoped
ditransitive,He lost him the bet.,lost
ditransitive,He got him the dispute.,got
ditransitive,He increased him the grade.,increased
ditransitive,She rose her the vote.,rose
ditransitive,She slashed her the supply.,slashed
ditransitive,She collapsed her the measure.,collapsed
ditransitive,She invested her the grocery.,invested
ditransitive,She found her the nomination.,found
ditransitive,She acted him the detail.,acted
ditransitive,She received him the school.,received
ditransitive,He remained her the formula.,remained
ditransitive,She drove him the balloon.,drove
ditransitive,He reported him the squeeze.,reported
ditransitive,He pushed her the drama.,pushed
ditransitive,She firmed her the buying.,firmed
ditransitive,He hired her the restriction.,hired
ditransitive,She struck him the ice.,struck
ditransitive,He finished her the art.,finished
ditransitive,He sold her the report.,sold
ditransitive,She came her the working.,came
ditransitive,He played him the soil.,played
ditransitive,He placed her the spirit.,placed
ditransitive,She went him the tone.,went
ditransitive,He proved him the correction.,proved
ditransitive,He looked her the bureau.,looked
ditransitive,He continued him the position.,continued
ditransitive,He improved him the script.,improved
ditransitive,He opposed him the convention.,opposed
ditransitive,She earned her the crash.,earned
ditransitive,He exploded him the government.,exploded
ditransitive,She lost her the race.,lost
ditransitive,He elected her the beginning.,elected
ditransitive,She ended her the roll.,ended
ditransitive,She finished her the fire.,finished
resultative,She taught it efficient.,taught
resultative,She founded it misleading.,founded
resultative,She rejected it vigorous.,rejected
resultative,She ended it operational.,ended
resultative,He represented it indian.,represented
resultative,She faced it public.,faced
resultative,She bid it responsible.,bid
resultative,She contained it affluent.,contained
resultative,He rebounded it cooperative.,rebounded
resultative,She happened it disappointed.,happened
resultative,She issued it busy.,issued
resultative,She lost it charitable.,lost
resultative,She topped it yearly.,topped
resultative,She sent it uncertain.,sent
resultative,He led it lucky.,led
resultative,He concluded it agricultural.,concluded
resultative,He waited it secondary.,waited
resultative,He slid it parliamentary.,slid
resultative,She accepted it korean.,accepted
resultative,She spent it electoral.,spent
resultative,He intended it damaged.,intended
resultative,He threatened it last.,threatened
resultative,He expired it crazy.,expired
resultative,He reacted it dead.,reacted
resultative,He named it regulatory.,named
resultative,He totaled it broad.,totaled
resultative,He withdrew it agricultural.,withdrew
resultative,He argued it annual.,argued
resultative,He seemed it residential.,seemed
resultative,He urged it worried.,urged
resultative,He needed it formal.,needed
resultative,He elected it judicial.,elected
resultative,She lived it grand.,lived
resultative,He pulled it rival.,pulled
resultative,He cut it seasonal.,cut
resultative,He exceeded it powerful.,exceeded
resultative,She failed it desperate.,failed
resultative,She exploded it secure.,exploded
resultative,She rose it soft.,rose
resultative,She sold it last.,sold
resultative,He kept it cautious.,kept
resultative,He fled it beautiful.,fled
resultative,He benefited it reckless.,benefited
resultative,She met it fourth.,met
resultative,She estimated it sizable.,estimated
resultative,She hoped it fair.,hoped
resultative,He reduced it technological.,reduced
resultative,He reached it unprecedented.,reached
resultative,He criticized it desperate.,criticized
resultative,He saw it residential.,saw
resultative,He brought it specific.,brought
resultative,He drew it cellular.,drew
resultative,He outnumbered it sour.,outnumbered
resultative,He appeared it sad.,appeared
resultative,She consented it easy.,consented
resultative,He named it correct.,named
resultative,He estimated it careful.,estimated
resultative,He moved it west.,moved
resultative,He owned it wholesale.,owned
resultative,He cost it bipartisan.,cost
resultative,She emphasized it solid.,emphasized
resultative,He agreed it big.,agreed
resultative,She edged it controversial.,edged
resultative,He explained it sizable.,explained
resultative,He provided it practical.,provided
resultative,He offered it monetary.,offered
resultative,She posted it pro-choice.,posted
resultative,He built it soft.,built
resultative,She cut it innocent.,cut
resultative,He attended it extensive.,attended
resultative,He followed it 20th.,followed
resultative,She blamed it scientific.,blamed
resultative,He stepped it federal.,stepped
resultative,She claimed it afraid.,claimed
resultative,She arranged it inappropriate.,arranged
resultative,She lived it booming.,lived
resultative,She faced it efficient.,faced
resultative,She emphasized it classic.,emphasized
resultative,She figured it precious.,figured
resultative,She began it parental.,began
resultative,He left it knowledgeable.,left
resultative,She knocked it green.,knocked
resultative,He rolled it several.,rolled
resultative,She applied it giant.,applied
resultative,She thought it weak.,thought
resultative,She downgraded it bitter.,downgraded
resultative,She created it individual.,created
resultative,He pleaded it certain.,pleaded
resultative,She halted it institutional.,halted
resultative,He let it unique.,let
resultative,He expected it booming.,expected
resultative,She cut it longstanding.,cut
resultative,She dumped it suburban.,dumped
resultative,He confirmed it typical.,confirmed
resultative,He sank it beneficial.,sank
resultative,She left it congressional.,left
resultative,She needed it anti-abortion.,needed
resultative,He shot it residential.,shot
resultative,She used it soviet.,used
resultative,She occurred it alive.,occurred
resultative,She shouted it standard.,shouted
resultative,He rushed it possible.,rushed
resultative,He seemed it vague.,seemed
resultative,She flew it excessive.,flew
resultative,He grew it beautiful.,grew
resultative,He jumped it post-crash.,jumped
resultative,He doubled it fast.,doubled
resultative,She cost it appropriate.,cost
resultative,He felt it dark.,felt
resultative,He fought it antitrust.,fought
resultative,He rushed it critical.,rushed
resultative,He gained it sizable.,gained
resultative,She disclosed it harsh.,disclosed
resultative,She promised it loose.,promised
resultative,He decided it native.,decided
resultative,She arranged it northern.,arranged
resultative,She totaled it various.,totaled
resultative,He argued it appropriate.,argued
resultative,He confirmed it disproportionate.,confirmed
resultative,He drew it innovative.,drew
resultative,She headed it single.,headed
resultative,He suggested it dark.,suggested
resultative,He feared it temporary.,feared
resultative,He shot it hostile.,shot
resultative,She gained it ethnic.,gained
resultative,He happened it minimal.,happened
resultative,He recommended it risky.,recommended
resultative,He caused it hispanic.,caused
resultative,He let it canadian.,let
resultative,She moved it dark.,moved
resultative,He increased it consolidated.,increased
resultative,She affected it inner.,affected
resultative,He played it sensitive.,played
resultative,She spent it shaky.,spent
resultative,He responded it predictable.,responded
resultative,He drove it valuable.,drove
resultative,He recommended it swedish.,recommended
resultative,She acknowledged it separate.,acknowledged
resultative,She slowed it corporate.,slowed
resultative,He invested it mass.,invested
resultative,He sustained it parliamentary.,sustained
resultative,He prompted it prior.,prompted
resultative,She elected it loose.,elected
resultative,He recorded it complex.,recorded
resultative,She alleged it toxic.,alleged
resultative,She killed it prolonged.,killed
resultative,He signaled it half.,signaled
resultative,He focused it usual.,focused
resultative,She fell it sensitive.,fell
resultative,She dismissed it ambitious.,dismissed
resultative,He faced it relative.,faced
resultative,He produced it fine.,produced
resultative,She asserted it revised.,asserted
resultative,She expired it payable.,expired
resultative,She downgraded it joint.,downgraded
resultative,He fired it exotic.,fired
resultative,She left it sixth.,left
resultative,He bid it brief.,bid
resultative,She arranged it rational.,arranged
resultative,He sent it female.,sent
resultative,He fought it sympathetic.,fought
resultative,She heard it complicated.,heard
resultative,He came it widespread.,came
resultative,He asserted it constant.,asserted
resultative,He reiterated it promising.,reiterated
resultative,He pointed it swedish.,pointed
resultative,He invested it statistical.,invested
resultative,She threw it chief.,threw
resultative,He helped it exclusive.,helped
resultative,She fired it guilty.,fired
resultative,She advised it basic.,advised
resultative,She fired it par.,fired
resultative,She amounted it responsible.,amounted
resultative,She won it cumulative.,won
resultative,She allowed it numerous.,allowed
resultative,He served it creative.,served
resultative,He assumed it consistent.,assumed
resultative,She gave it questionable.,gave
resultative,She surged it civil.,surged
resultative,He used it pure.,used
resultative,He asked it official.,asked
resultative,She staged it speculative.,staged
resultative,He operated it naval.,operated
resultative,She outnumbered it historical.,outnumbered
resultative,She agreed it valuable.,agreed
resultative,She rose it lengthy.,rose
resultative,He visited it enormous.,visited
resultative,She helped it excellent.,helped
resultative,He knew it different.,knew
resultative,She carried it internal.,carried
resultative,She acted it involved.,acted
resultative,He faced it eventual.,faced
resultative,She bounced it last.,bounced
resultative,He eased it unrelated.,eased
resultative,She picked it upset.,picked
resultative,He stemmed it committed.,stemmed
resultative,She vowed it excellent.,vowed
resultative,She opened it south.,opened
resultative,She approached it proposed.,approached
resultative,She released it interested.,released
resultative,She knocked it young.,knocked
resultative,She conceded it present.,conceded
resultative,She inched it italian.,inched
resultative,She waited it computerized.,waited
resultative,She gained it green.,gained
resultative,She shouted it impossible.,shouted
resultative,She shut it prestigious.,shut
resultative,He noted it worth.,noted
resultative,He withdrew it slow.,withdrew
resultative,He asked it eventual.,asked
resultative,She took it helpful.,took
resultative,She declared it south.,declared
resultative,She believed it steady.,believed
resultative,She watched it promotional.,watched
resultative,She decided it widespread.,decided
resultative,She ranged it capital.,ranged
resultative,She appeared it minimum.,appeared
resultative,He did it emotional.,did
resultative,He played it whole.,played
resultative,He watched it general.,watched
resultative,She fell it rival.,fell
resultative,She purchased it concerned.,purchased
resultative,She operated it liberal.,operated
resultative,He negotiated it willing.,negotiated
resultative,She waited it triple.,waited
resultative,He emerged it convinced.,emerged
resultative,She cost it immune.,cost
resultative,He said it adjusted.,said
resultative,She negotiated it substantial.,negotiated
resultative,He criticized it friendly.,criticized
